Output Areas Code,HHD_dep_education_PC,HHD_dep_employment_PC,HHD_dep_health_PC,HHD_dep_housing_PC
E00053481,0.14960629921259844,0.07086614173228346,0.3228346456692913,0.015873015873015872
E00053482,0.152,0.04032258064516129,0.28,0.024
E00053483,0.1532258064516129,0.048,0.352,0.08870967741935484
E00053484,0.27611940298507465,0.13432835820895522,0.4148148148148148,0.029850746268656716
E00053485,0.3150684931506849,0.14285714285714285,0.3767123287671233,0.06164383561643835
E00053486,0.16842105263157894,0.0797872340425532,0.2751322751322751,0.031746031746031744
E00053487,0.21794871794871795,0.05128205128205128,0.2848101265822785,0.050955414012738856
E00053488,0.2,0.06923076923076923,0.3953488372093023,0.015384615384615385
E00053489,0.13095238095238096,0.08333333333333333,0.3392857142857143,0.017857142857142856
E00053490,0.37404580152671757,0.10687022900763359,0.5038167938931297,0.06870229007633588
E00053491,0.2,0.043795620437956206,0.31851851851851853,0.007407407407407408
E00053493,0.1308016877637131,0.06302521008403361,0.2647058823529412,0.03361344537815126
E00053494,0.37254901960784315,0.08496732026143791,0.22580645161290322,0.08496732026143791
